Style Listing Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
007,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,ladies gloves,,,,,,,,,,0.00,29.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (49289),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,277,,277,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (53471),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,332,,332,,,,,,,,,,,,,,,,,,,,,,,
,cotwold navy (49290),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,34,,34,,,,,,,,,,,,,,,,,,,,,,,
,deep lake (49291),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,102,,102,,,,,,,,,,,,,,,,,,,,,,,
,parafin (49292),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,745,,745,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64179,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,ladies handbag,,,,,,,,,,0.00,120.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (54440),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,141,,141,,,,,,,,,,,,,,,,,,,,,,,
,BEIGE (54441),,74,,74,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (54439),,97,,97,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,42,,42,,,,,,,,,,,,,,,,,,,,,,,
,DENIM (54442),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,47,,47,,,,,,,,,,,,,,,,,,,,,,,
,SAGE (54443),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,44,,44,,,,,,,,,,,,,,,,,,,,,,,
,WOOD ROSE (54444),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,70,,70,,,,,,,,,,,,,,,,,,,,,,,
,Total,,521,,521,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64192,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,scoop shoulder bag,,,,,,,,,,0.00,110.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (49271),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (49270),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,deep lake (49273),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,parafin (49272),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,ROSE (49274),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64198,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,tote bag,,,,,,,,,,0.00,149.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (49309),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,130,,130,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (49308),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,323,,323,,,,,,,,,,,,,,,,,,,,,,,
,cotwold navy (49310),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,Total,,455,,455,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64202,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,hobo shoulder bag,,,,,,,,,,0.00,129.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (49312),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,97,,97,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (49311),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,cotwold navy (49313),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,10,,10,,,,,,,,,,,,,,,,,,,,,,,
,MANDARIN (49314),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,ochre yellow (49315),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,24,,24,,,,,,,,,,,,,,,,,,,,,,,
,parafin (49316),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,40,,40,,,,,,,,,,,,,,,,,,,,,,,
,Total,,194,,194,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64203,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,hobo shoulder bag,,,,,,,,,,0.00,115.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (49318),,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,89,,89,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (49317),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,251,,251,,,,,,,,,,,,,,,,,,,,,,,
,cotwold navy (49319),,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,91,,91,,,,,,,,,,,,,,,,,,,,,,,
,MANDARIN (49320),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,ochre yellow (49321),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,parafin (49322),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,431,,431,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64239,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,tab 2025,,,,,,,,,,0.00,69.99
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (59165),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,441,,441,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (59164),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,33,,33,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,721,,721,,,,,,,,,,,,,,,,,,,,,,,
,COGNAC (59166),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,59,,59,,,,,,,,,,,,,,,,,,,,,,,
,CORAL (59167),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,25,,25,,,,,,,,,,,,,,,,,,,,,,,
,COST WORLD NAVY (59168),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,18,,18,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,192,,192,,,,,,,,,,,,,,,,,,,,,,,
,DARK BLUE (59169),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,18,,18,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,182,,182,,,,,,,,,,,,,,,,,,,,,,,
,Total,,1695,,1695,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64255,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,single zip 2025,,,,,,,,,,0.00,74.99
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (59171),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,97,,97,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (59170),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,503,,503,,,,,,,,,,,,,,,,,,,,,,,
,COGNAC (59173),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,CORAL (59172),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,COST WORLD NAVY (59174),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,DARK BLUE (59175),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,128,,128,,,,,,,,,,,,,,,,,,,,,,,
,Total,,730,,730,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64257,,,,HANDBAGS,,,,RUCKSACK,,,,NO SEASON,,,,,flapover backpack,,,,,,,,,,0.00,139.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (49258),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (53468),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,23,,23,,,,,,,,,,,,,,,,,,,,,,,
,cotwold navy (49259),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,34,,34,,,,,,,,,,,,,,,,,,,,,,,
,parafin (49260),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,65,,65,,,,,,,,,,,,,,,,,,,,,,,
,Total,,132,,132,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64295,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,leather flapover crossbody bag,,,,,,,,,,0.00,110.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (49253),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,40,,40,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (49252),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,95,,95,,,,,,,,,,,,,,,,,,,,,,,
,cotwold navy (49254),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,9,,9,,,,,,,,,,,,,,,,,,,,,,,
,GUMDROP GREEN (49255),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,42,,42,,,,,,,,,,,,,,,,,,,,,,,
,parafin (49256),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,186,,186,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64296,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,cross body bag,,,,,,,,,,0.00,110.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (49262),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (49261),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,52,,52,,,,,,,,,,,,,,,,,,,,,,,
,GUMDROP GREEN (49263),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,14,,14,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,45,,45,,,,,,,,,,,,,,,,,,,,,,,
,MANDARIN (49264),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,5,,5,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,9,,9,,,,,,,,,,,,,,,,,,,,,,,
,ochre yellow (49267),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,13,,13,,,,,,,,,,,,,,,,,,,,,,,
,parafin (49265),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,11,,11,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,49,,49,,,,,,,,,,,,,,,,,,,,,,,
,rasberry sorbet (49268),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,6,,6,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,20,,20,,,,,,,,,,,,,,,,,,,,,,,
,ROSE (49266),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,12,,12,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,26,,26,,,,,,,,,,,,,,,,,,,,,,,
,sodalite blue (49269),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,14,,14,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,43,,43,,,,,,,,,,,,,,,,,,,,,,,
,Total,,322,,322,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64297,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,small crossbody bag,,,,,,,,,,0.00,110.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (49303),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (49302),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,cotwold navy (49304),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,13,,13,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,21,,21,,,,,,,,,,,,,,,,,,,,,,,
,MANDARIN (49305),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,rasberry sorbet (49306),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,sodalite blue (49307),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,12,,12,,,,,,,,,,,,,,,,,,,,,,,
,Total,,51,,51,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64385,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,unisex crossbody bag,,,,,,,,,,0.00,100.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,TAN (54810),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,1164,,1164,,,,,,,,,,,,,,,,,,,,,,,
,Total,,1164,,1164,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64397,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,small summer bag,,,,,,,,,,0.00,110.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (51698),,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,760,,760,,,,,,,,,,,,,,,,,,,,,,,
,DENIM BLUE (51699),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,250,,250,,,,,,,,,,,,,,,,,,,,,,,
,GREEN (51700),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,411,,411,,,,,,,,,,,,,,,,,,,,,,,
,ICE GREY (51701),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,16,,16,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,619,,619,,,,,,,,,,,,,,,,,,,,,,,
,TAN (51702),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,509,,509,,,,,,,,,,,,,,,,,,,,,,,
,Total,,2570,,2570,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
64416,,,,HANDBAGS,,,,BAGS,,,,NO SEASON,,,,,ladies handbag,,,,,,,,,,0.00,140.00
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,2 tone tan (54662),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
